,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m_0.00050m_0.00150m,measurementValue_vol_1m_0.00150m_0.00500m,measurementValue_vol_1m_0.00500m_0.01500m,measurementValue_vol_1m_0.01500m_0.05000m,measurementValue_vol_5m_0.00050m_0.00150m,measurementValue_vol_5m_0.00150m_0.00500m,measurementValue_vol_5m_0.00500m_0.01500m,measurementValue_vol_5m_0.01500m_0.05000m,measurementValue_vol_1m_0.00050m_0.05000m,measurementValue_vol_5m_0.00050m_0.05000m,measurementUnit_vol
14,31.525,-123.31,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,0.0066335055076962345,0.0,0.0,0.0,0.0013713546350872094,0.0,0.0066335055076962345,0.0013713546350872094,nm-3
15,31.5033,-123.3083,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.025067526815831204,0.0,0.0,0.0,0.0071019317714843214,0.0,0.0,0.025067526815831204,0.0071019317714843214,nm-3
0,25.1401,-151.9014,2018-01-11,2018,1,11,0.15,Egger_2020_SR,577445914721910783,582604823279435775,587106773639364607,591610235827781631,4.343983425382744,0.00013180289567265574,0.00026646586412503354,3.588732390245138e-05,0.000142483304796612,2.6779514016670986e-05,5.329317334258561e-05,7.177464780490276e-06,2.84966609593224e-05,0.0005766393884967527,0.00011574681309906928,gm-3
1,28.6633,-147.0067,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,1.873108522987521e-05,0.0003027515862367526,0.00047845709730695715,0.00018171650679270565,3.805753712017783e-06,6.055031783541021e-05,9.569141946139143e-05,3.634330135854113e-05,0.0009816562755662905,0.00019639079236736056,gm-3
2,28.71,-147.015,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,5.713225450319723e-05,0.0005684720190650845,0.0002212683922365352,0.0003149692913038891,1.1608045502067054e-05,0.00011369440491720756,4.425367844730704e-05,6.299385826077782e-05,0.001161841957108706,0.00023254998712735948,gm-3
3,28.74,-147.03,2018-03-11,2018,3,11,0.15,Egger_2020_SR,577445914721910783,581931922163236863,586434972034793471,590937128553152511,4.343983425382744,1.6799190617839e-05,0.00016804056079522948,0.0001296104790548683,4.7839213820780154e-05,3.4132342716995384e-06,3.3608112485445106e-05,2.5922095810973664e-05,9.56784276415603e-06,0.00036228944428871694,7.251128533227434e-05,gm-3
4,30.5572,-145.043,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.00011371759708904088,0.00041944791265431273,0.00037712638301,0.000123940447922,2.27435194178086e-05,8.388958253086255e-05,7.5425276602e-05,2.47880895844e-05,0.0010342323406753535,0.00020684646813507113,gm-3
5,30.5812,-145.0612,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.00046080530177217507,0.0012683106727941218,0.00099384942028,0.004641028672,9.216106035443671e-05,0.00025366213455882435,0.00019876988405600002,0.0009282057344,0.007363994066846297,0.0014727988133692613,gm-3
6,30.6117,-145.0833,2018-11-13,2018,11,13,0.15,Egger_2020_SR,577445914721910783,581918728023703551,586433872523165695,590937265992105983,2.364565076287815,0.0004782224005138532,0.0018491725256647722,0.00256143318541,0.0004336061918,9.56444801027724e-05,0.00036983450513295444,0.000512286637082,8.672123836e-05,0.005322434303388625,0.001064486860677727,gm-3
7,30.1667,-140.7683,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,8.214367578637211e-05,0.000385620222736105,0.00043488439528199357,0.0005429813922988977,1.6689828443263865e-05,7.712404529624336e-05,8.697687905639872e-05,0.00010859627845977954,0.0014456296861033683,0.0002893870312556855,gm-3
8,30.17,-140.7383,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,4.385508010434199e-05,0.00030596778559582784,0.0004193145031096477,9.796586030309106e-05,8.91040918610185e-06,6.119355771347235e-05,8.386290062192954e-05,1.9593172060618212e-05,0.0008671032291129086,0.00017356003958212196,gm-3
9,30.1733,-140.705,2018-11-29,2018,11,29,0.15,Egger_2020_SR,577445914721910783,581923126070214655,586423976918515711,590927164229025791,4.343983425382744,0.00017598291020752638,0.000348563160542204,0.00041975222017352943,1.9250509772473924e-06,3.575594289143319e-05,6.971263278548413e-05,8.395044403470589e-05,3.850101954494785e-07,0.0009462233419005072,0.00018980402990707268,gm-3
10,30.7767,-133.435,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.001719597471980822,0.000590290788803242,0.0002829236418596979,7.590868404556094e-05,0.0003493852268489736,0.00011805815890721948,5.6584728371939584e-05,1.5181736809112188e-05,0.002668720586689323,0.0005392098509372448,gm-3
11,30.78,-133.3967,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.00018397264649838582,0.0003504901808547165,5.3406101221834845e-05,8.861403232619467e-06,3.7379285488715475e-05,7.009803685172965e-05,1.0681220244366969e-05,1.7722806465238933e-06,0.0005967303318075567,0.000119930823231336,gm-3
12,30.78,-133.365,2018-01-12,2018,1,12,0.15,Egger_2020_SR,577903311559065599,582389319000391679,586889620092878847,591392944842342399,4.343983425382744,0.0007755229287962043,0.0005239867782172165,0.00014135819444640544,1.170584993362434e-05,0.00015756958173003413,0.00010479735666122657,2.8271638889281087e-05,2.3411699867248682e-06,0.0014525737513934507,0.0002929797472672667,gm-3
13,31.5483,-123.3117,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,3.165333101414957e-05,3.76196696982102e-05,0.0,0.0,1.968494059200016e-05,1.065810478334601e-05,0.0,0.0,6.927300071235976e-05,3.034304537534617e-05,gm-3
14,31.525,-123.31,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,2.653402204523445e-06,0.0,0.0,0.0,5.485418543336007e-07,0.0,2.653402204523445e-06,5.485418543336007e-07,gm-3
15,31.5033,-123.3083,2018-04-12,2018,4,12,0.15,Egger_2020_SR,577199624117288959,581690029605126143,586189780941799423,590693311849693183,9.346764145949122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gm-3
