,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
52,42.33,3.47,2010-08-01 12:00:00,2010,8,1,0.15,4,8.300000000000002e-06,g m-2,577481099093999615,581975902628347903,586475653965021183,590979116153438207,1.7126907110214233,8.300000000000002e-06,1.6600000000000004e-06,gm-3
53,42.26,3.64,2010-08-01 12:00:00,2010,8,1,0.15,4,9.939999999999999e-05,g m-2,577481099093999615,581975902628347903,586475653965021183,590979116153438207,2.0561416149139404,9.94000000379743e-05,1.988000000759486e-05,gm-3
54,42.24,8.52,2010-08-07 12:00:00,2010,8,7,0.15,4,8.7e-06,g m-2,577023702256844799,581505311651659775,586008361523216383,590511617553203199,4.622232437133789,1.1318338036315555e-05,2.263798529811667e-06,gm-3
55,42.33,8.6,2010-08-07 12:00:00,2010,8,7,0.15,4,8.300000000000002e-06,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,4.622232437133789,1.0797954678324038e-05,2.159715838785844e-06,gm-3
56,43.57,7.39,2010-08-07 12:00:00,2010,8,7,0.15,4,0.00011480000000000017,g m-2,577023702256844799,581975902628347903,586478402744090623,590981590054600703,2.141578435897827,0.00011480000063798394,2.296000012759679e-05,gm-3
57,63.57,-53.12,2011-06-15 12:00:00,2011,6,15,0.15,5,7.826819170584515e-06,g m-2,576601489791778815,581087497233104895,585588897837219839,590092085147729919,4.642796516418457,1.0251470836328094e-05,2.0504316430964673e-06,gm-3
58,60.46,-49.54,2011-06-12 12:00:00,2011,6,12,0.15,5,4.961089494163425e-06,g m-2,576953333512667135,581443739000504319,585946788872060927,590450251060477951,3.8327829837799072,5.2919808683008246e-06,1.0583961836240766e-06,gm-3
59,51.15,-27.33,2011-06-05 12:00:00,2011,6,5,0.15,5,3.071672354948808e-07,g m-2,576918149140578303,581399758535393279,585900609383694335,590404002852634623,5.376400947570801,5.280310463271788e-07,1.0593268217463126e-07,gm-3
60,49.47,-23.68,2011-06-04 12:00:00,2011,6,4,0.15,5,1.7620282339383515e-05,g m-2,576918149140578303,581399758535393279,585899509872066559,590402834621530111,6.953821182250977,5.390357171360766e-05,1.1940476156706165e-05,gm-3
61,45.58,-44.83,2011-08-15 12:00:00,2011,8,15,0.15,5,9.2764378478664e-08,g m-2,576953333512667135,581439340953993215,585941291313922047,590445853013966847,1.1104968786239624,9.2764378478664e-08,1.85528756957328e-08,gm-3
