,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
483,31.1021,-174.1443,2012-06-27,2012,6,27,0,Eriksen2014,5.6670000000000005e-05,n m-2,0.2,inf,577727389698621439,582217795186458623,586718646034759679,591221764625793023,5.6670000000000005e-05,1.1334e-05,n m-3
484,31.1517,-174.0432,2012-06-27,2012,6,27,0,Eriksen2014,4.8950000000000004e-05,n m-2,0.2,inf,577727389698621439,582217795186458623,586718646034759679,591221764625793023,4.8950000000000004e-05,9.790000000000001e-06,n m-3
485,31.2573,-173.469,2012-06-27,2012,6,27,0,Eriksen2014,0.00018621000000000002,n m-2,0.2,inf,577727389698621439,582217795186458623,586718646034759679,591221833345269759,0.00018621000000000002,3.724200000000001e-05,n m-3
486,31.3837,-173.2722,2012-06-27,2012,6,27,0,Eriksen2014,9.895e-05,n m-2,0.2,inf,577727389698621439,582217795186458623,586718646034759679,591221833345269759,9.895e-05,1.9790000000000002e-05,n m-3
487,30.3,-173.04,2012-06-28,2012,6,28,0,Eriksen2014,0.00011061,n m-2,0.2,inf,577727389698621439,582217795186458623,586719195790573567,591222726698467327,0.00011061,2.2122e-05,n m-3
488,30.546,-172.3667,2012-06-28,2012,6,28,0,Eriksen2014,0.00010034,n m-2,0.2,inf,577727389698621439,582217795186458623,586719195790573567,591222589259513855,0.00010034,2.0068e-05,n m-3
489,31.0304,-172.2703,2012-06-28,2012,6,28,0,Eriksen2014,4.3740000000000005e-05,n m-2,0.2,inf,577727389698621439,582217795186458623,586719195790573567,591222589259513855,4.3740000000000005e-05,8.748000000000002e-06,n m-3
490,30.8333,-146.9,2009-05-21,2009,5,21,0,Eriksen2014,3.4960000000000004e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586420128627818495,590923315938328575,3.4960000000000004e-05,6.992000000000001e-06,n m-3
491,33.541,-144.916,2009-05-22,2009,5,22,0,Eriksen2014,1.7480000000000002e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586421228139446271,590922422585131007,1.7480000000000002e-05,3.4960000000000005e-06,n m-3
492,36.25,-142.9333,2009-05-23,2009,5,23,0,Eriksen2014,4.349e-05,n m-2,0.2,inf,577445914721910783,581940718256259071,586441569104560127,590944893854023679,4.349e-05,8.698e-06,n m-3
493,36.45,-137.1667,2009-05-25,2009,5,25,0,Eriksen2014,4.3700000000000005e-05,n m-2,0.2,inf,577445914721910783,581940718256259071,586441019348746239,590944481537163263,4.3700000000000005e-05,8.740000000000001e-06,n m-3
494,25.6667,-158.0333,2009-07-19,2009,7,19,0,Eriksen2014,2.1000000000000002e-06,n m-2,0.2,inf,577727389698621439,582204601046925311,586707101162668031,591210494631608319,2.1000000000000002e-06,4.2000000000000006e-07,n m-3
495,28.3667,-157.35,2009-07-20,2009,7,20,0,Eriksen2014,5.22e-06,n m-2,0.2,inf,577445914721910783,581927524116725759,586428374965026815,590931837153443839,5.22e-06,1.044e-06,n m-3
496,33.65,-155.1667,2009-07-22,2009,7,22,0,Eriksen2014,1.0160000000000001e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590948673425244159,1.0160000000000001e-05,2.032e-06,n m-3
497,34.9333,-151.1167,2009-07-23,2009,7,23,0,Eriksen2014,1.762e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586421777895260159,590925033925246975,1.762e-05,3.524e-06,n m-3
498,36.1167,-147.0333,2009-07-24,2009,7,24,0,Eriksen2014,2.6260000000000003e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590923796974665727,2.6260000000000003e-05,5.252000000000001e-06,n m-3
499,37.4833,-142.1,2009-07-25,2009,7,25,0,Eriksen2014,5.33e-06,n m-2,0.2,inf,577445914721910783,581940718256259071,586441569104560127,590943725622919167,5.33e-06,1.066e-06,n m-3
500,37.85,-138.0,2009-07-26,2009,7,26,0,Eriksen2014,6.1e-07,n m-2,0.2,inf,577445914721910783,581940718256259071,586443218372001791,590946474401988607,6.1e-07,1.22e-07,n m-3
501,27.5667,-154.2,2009-07-23,2009,7,23,0,Eriksen2014,1.64e-06,n m-2,0.2,inf,577445914721910783,581927524116725759,586427275453399039,590930600202862591,1.64e-06,3.2799999999999997e-07,n m-3
502,29.7333,-150.6167,2009-07-25,2009,7,25,0,Eriksen2014,1.045e-05,n m-2,0.2,inf,577445914721910783,581927524116725759,586430024232468479,590933211542978559,1.045e-05,2.09e-06,n m-3
